食品名,エネルギー,水分,たんぱく質,脂質,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
アマランサス玄穀,343,13.5,12.7,6,64.9,1,600,160,270,540,9.4,5.8,0.92,6.14,1,13,7,59,0,0,1.3,0,0.04,0.14,3.8,0.58,0,130,1.69,16,0,0,0
あわ精白粒,346,13.3,11.2,4.4,69.7,1,300,14,110,280,4.8,2.5,0.49,0.88,0,2,1,22,0,0,0.6,0,0.56,0.07,6.4,0.18,0,29,1.83,14,0,0,0
あわあわもち,210,48,5.1,1.3,45.3,0,62,5,12,39,0.7,1.1,0.2,0.46,0,1,0,40,0,0,0.1,0,0.08,0.01,1.7,0.03,0,7,0.61,3.4,0,0,0
えんばくオートミール,350,10,13.7,5.7,69.1,3,260,47,100,370,3.9,2.1,0.28,0,0,18,0,110,0,0,0.6,0,0.2,0.08,4.5,0.11,0,30,1.29,22,0,0,0
おおむぎ七分つき押麦,343,14,10.9,2.1,72.1,2,220,23,46,180,1.3,1.4,0.32,0.85,0,0,0,0,0,0,0.2,0,0.22,0.07,5.8,0.14,0,17,0.43,0,0,0,0
おおむぎ押麦乾,329,12.7,6.7,1.5,78.3,2,210,21,40,160,1.1,1.1,0.22,0.86,0,1,0,11,0,0,0.1,0,0.11,0.03,5,0.13,0,10,0.4,2.7,0,0,0
おおむぎ押麦めし,118,68.6,2.2,0.5,28.5,0,38,6,10,46,0.4,0.4,0.08,0.24,0,0,0,3,0,0,0,0,0.02,0,1.3,0.03,0,3,0.13,0.8,0,0,0
おおむぎ米粒麦,333,14,7,2.1,76.2,2,170,17,25,140,1.2,1.2,0.37,0,0,1,0,9,0,0,0.1,0,0.19,0.05,4,0.19,0,10,0.64,3.5,0,0,0
おおむぎ大麦めん乾,343,14,12.9,1.7,68,1100,240,27,63,200,2.1,1.5,0.33,0.9,0,0,0,0,0,0,0,0,0.21,0.04,6.3,0.09,0,19,0.64,0,0,0,2.8
おおむぎ大麦めんゆで,121,70,4.8,0.6,24.3,64,10,12,18,61,0.9,0.6,0.13,0.27,0,0,0,0,0,0,0,0,0.04,0.01,2,0.01,0,5,0.26,0,0,0,0.2
