id,title,description,instructions,image_url,total_calories,total_protein,total_fat,total_carbohydrates
1,豚の生姜焼き,甘辛い生姜ダレが食欲をそそる、ご飯との相性抜群の定番料理。手軽に作れてタンパク質もしっかり摂れます。,"1. 豚ロース肉に軽く小麦粉をまぶす。\n2. フライパンに油を熱し、豚肉を両面焼き色がつくまで焼く。\n3. 醤油、みりん、酒、すりおろし生姜を混ぜ合わせたタレを加え、全体に絡ませながら煮詰める。\n4. 千切りキャベツを添えて盛り付ける。",,350,25,20,15
2,親子丼,鶏肉の旨味とふわふわの卵が絶妙な、手軽に作れる丼ぶり。一杯でタンパク質と炭水化物をバランス良く摂取できます。,"1. 鶏もも肉と玉ねぎは食べやすい大きさに切る。\n2. 小さなフライパンにだし汁、醤油、みりん、砂糖を入れて火にかけ、鶏肉と玉ねぎを煮る。\n3. 鶏肉に火が通ったら、溶き卵を回し入れ、蓋をして半熟状になるまで火を通す。\n4. 温かいご飯の上に滑らせるように乗せ、三つ葉を添える。",,650,30,20,80
3,鮭の塩焼き,シンプルながら、鮭の旨味を最大限に引き出す日本の伝統的な焼き魚。良質なタンパク質とオメガ3脂肪酸が豊富です。,"1. 生鮭の切り身の両面に軽く塩を振って10分ほど置く。\n2. キッチンペーパーで鮭から出た水分を拭き取る。\n3. 魚焼きグリルを予熱し、皮目を上にして鮭を並べ、中火で7〜10分焼く。\n4. 焼き色がついたら裏返し、さらに3〜5分焼く。\n5. 大根おろしと醤油を添えて完成。",,250,22,18,1
4,肉じゃが,家庭料理の王様。じゃがいもと人参に、お肉の旨味が染み込んだ、心も体も温まる一品です。,"1. じゃがいも、人参は乱切りに、玉ねぎはくし切りにする。牛肉は食べやすい大きさに切る。\n2. 鍋に油を熱し、牛肉を炒める。色が変わったら野菜を加えてさらに炒める。\n3. だし汁を加え、煮立ったらアクを取る。砂糖、みりん、醤油を加えて落し蓋をし、野菜が柔らかくなるまで中火で15〜20分煮る。\n4. 火を止めて味を含ませる。",,400,15,15,45
5,鶏の唐揚げ,外はカリッと、中はジューシーな、子どもから大人まで大人気の揚げ物。特別な日にも、普段のおかずにも。,"1. 鶏もも肉を一口大に切り、醤油、酒、すりおろし生姜、にんにくで下味をつける。\n2. 15分ほど置いたら、片栗粉を全体にしっかりとまぶす。\n3. 170℃に熱した揚げ油で、きつね色になるまで4〜5分揚げる。\n4. 一度取り出し、3分ほど休ませた後、油の温度を180℃に上げて30秒〜1分ほど二度揚げすると、よりカリッとする。",,450,28,30,15
6,ハンバーグ,合い挽き肉の旨味が詰まった、洋食の定番。デミグラスソースや和風おろしポン酢など、ソースでアレンジも楽しめます。,"1. 玉ねぎをみじん切りにし、飴色になるまで炒めて冷ましておく。\n2. ボウルに合い挽き肉、炒めた玉ねぎ、パン粉、牛乳、卵、塩胡椒、ナツメグを入れて粘りが出るまでよく混ぜる。\n3. 小判形に成形し、中央をくぼませる。\n4. フライパンに油を熱し、中火で両面に焼き色をつける。\n5. 蓋をして弱火で7〜8分蒸し焼きにする。竹串を刺して透明な肉汁が出れば完成。",,550,25,40,20
7,カレーライス,スパイスの香りが食欲をそそる、国民食とも言える人気メニュー。入れる具材でバリエーションは無限大。,"1. 肉、じゃがいも、人参、玉ねぎを一口大に切る。\n2. 鍋に油を熱し、肉と野菜を炒める。\n3. 水を加えて煮込み、アクを取りながら野菜が柔らかくなるまで煮る。\n4. 一旦火を止め、カレールーを割り入れて溶かす。\n5. 再び弱火でとろみがつくまで煮込む。",,700,20,35,75
8,サバの味噌煮,こってりとした味噌ダレがサバの旨味とよく合う、ご飯が進む和食の定番。生姜と一緒に煮ることで、魚の臭みも消えます。,"1. サバの切り身に熱湯を回しかけ、霜降りにする。\n2. 鍋に水、酒、みりん、砂糖、スライスした生姜を入れて煮立たせる。\n3. 味噌を溶き入れ、サバを皮目を上にして並べる。\n4. 落し蓋をして、中火で10〜15分、煮汁が少なくなるまで煮詰める。",,400,20,28,10
9,麻婆豆腐,豆板醤のピリ辛さと豆腐の優しい味わいが特徴の、人気の中華料理。ひき肉の旨味が食欲をかき立てます。,"1. 豆腐をさいの目切りにし、塩を入れた熱湯で軽く茹でておく。\n2. フライパンにごま油を熱し、豆板醤、甜麺醤、にんにく、生姜のみじん切りを炒める。\n3. 香りが出たら豚ひき肉を加えて炒める。\n4. 鶏がらスープ、醤油、酒を加え、豆腐を入れて軽く煮る。\n5. 水溶き片栗粉でとろみをつけ、最後にごま油と花椒を振る。",,380,18,25,18
10,豚汁,たくさんの野菜と豚肉の旨味が溶け込んだ、具沢山の味噌汁。これ一杯で体も温まり、栄養も満点です。,"1. 豚バラ肉、大根、人参、ごぼう、こんにゃく、豆腐を食べやすい大きさに切る。\n2. 鍋にごま油を熱し、豚肉と根菜類を炒める。\n3. だし汁を加えて煮立たせ、アクを取りながら野菜が柔らかくなるまで煮る。\n4. 豆腐とこんにゃくを加え、味噌を溶き入れる。\n5. 沸騰直前で火を止め、お椀によそってネギを散らす。",,300,15,18,20
